Territory Num,Sales (in 000 units),Market Potential of the Territory(in 000 of units),Num of Stores ( in hundreds),Num of dealers,Num of Popular Brands,Population (in thousands)
1,10,16,8,7,12,71
2,8,12,6,6,13,59
3,45,28,19,36,6,135
4,58,43,19,49,2,149
5,10,14,6,12,13,70
6,5,7,4,3,11,45
7,12,16,9,17,13,58
8,56,35,18,45,2,148
9,25,19,15,28,9,103
10,29,24,13,29,9,115
11,52,31,16,40,3,145
12,48,27,18,38,4,139
13,51,32,17,42,3,146
14,9,16,8,8,16,68
15,11,15,7,14,13,73
16,21,16,10,20,11,85
17,4,6,2,2,14,56
18,18,18,7,18,14,68
19,9,15,9,9,14,67
20,8,15,7,4,14,62
21,19,19,8,19,13,70
22,24,15,16,21,16,100
23,30,25,15,20,9,123
24,26,15,14,26,13,102
25,42,26,18,31,6,133
26,6,9,5,5,12,58
27,20,17,11,19,12,80
28,28,19,10,27,8,114
29,50,30,15,39,4,140
30,46,29,17,35,5,134
